algorithm,start,end,time,constant,quad
10000,1418767471.92,1418767471.597,0.3230001926,0.000000014,1.4
20000,1418767471.621,1418767474.734,3.1129999161,,5.6
30000,1418767474.777,1418767485.46,10.6830000877,,12.6
40000,1418767485.523,1418767507.722,22.1989998817,,22.4
50000,1418767507.805,1418767545.847,38.0419998169,,35
60000,1418767545.962,1418767597.738,51.7760000229,,50.4
70000,1418767597.861,1418767673.754,75.8929998875,,68.6
80000,1418767673.911,1418767772.524,98.6129999161,,89.6
90000,1418767772.681,1418767893.62,120.9389998913,,113.4
100000,1418767893.246,1418768046.202,152.9559998512,,140
